scramble,orientation,cross,corner_fr,corner_fl,corner_bl,corner_br,edge_fr,edge_fl,edge_bl,edge_br,EO,CO,CP,ep,total_moves
L2 U D2 B' U2 L R2 F' D2 F2 B2 D B L' F' B R2 D U F L D2,x2,R' U' L2 F R' B',R' B' R2 B R,L U L',F U' F',R B' R B R2,L2 D' B L U' L' U B2 D,L2 D U' F2 D',L' U2 B' U' B U2 L,R U' R U2 F R2 F' U2 R2,L' U' B' U B L,F' U2 F2 U F2 U F2 U2 F',R2 B2 R F R' B2 R F' R,B2 U' L' R B2 L R' U' B2,85
R D B U' F' B' D2 F2 R' F2 D' F' B L2 R' B' R' D2 B D B' D' B D',x2,U' B L' F D2 B L,U R' U' R,B' R' U2 R B,U' F U F',R U' R',L2 D' B L U' L' U B2 D,R2 D2 L' D2 R2,F L F L' U' F',L F2 U F' U' F2 L',B' R' U' R U B,F U2 F' U' F U' F',U L2 F2 L B L' F2 L B' L,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,85
B R L F2 B2 L2 D F' U2 D' F R' B F U' L' R' B' R2 F2 D R2,x2,F R B2 D,F R' F2 U' F R,,L' U' L,R U' R',L2 D' B L U' L' U B2 D,B' U2 R' U2 R U2 B,L B2 D F2 D' B2 L',B U B2 D' R2 D B,L U F U' F' L',F' U B U' F U B',R2 B2 R F R' B2 R F' R,L2 U' B F' L2 B' F U' L2,77
B2 F2 D2 R' F' B2 R D R F' U' B' F' L U' F R2 U R L D' L2 R' B' U,x2,B F' L D,U' R2 B' R2 B,B' F U2 F' U B,U2 F U' F',R2 D B2 D' R2,U L2 D2 R' D2 L2,U' L2 U2 L' U2 L2,F L F L' U' F',B' R2 U' R U R2 B,R B U B' U' R',,U L2 F2 L B L' F2 L B' L,L2 F2 D2 R2 B F D2 L2 B F,75
L' U' F L' D L' R D' L D2 F2 R2 D U' R' L2 F D' R B,x2,D2 F D L B2 F',R' U2 R,B' R' U2 R B,R' F R2 U R' F',R B' R B R2,L2 D2 R D2 L2,B' U2 R' U' R U2 B,U' B2 D2 F D2 B2,B L2 D F' D' L2 B',F' U2 F R B2 L' B' L U2 B' R',B L F L' B' L F' L',L F' L B2 L' F L B2 L2,L2 U B F' L2 B' F U L2,87
B2 U2 L' D B' F D' U2 B' D2 U' B2 F2 L2 R U D2 B' L U2 D' B,x2,U L2 F2 R' B' D,R' B' R2 B U' R,U2 B' U B,L' U B' U2 B L,R' D2 L D2 R,L2 D2 R D2 L2,B2 R B2 R2 B' U' R B R,B2 D2 F' D2 B2,L F2 U F' U' F2 L',,B' U2 B F' D F2 U F2 D' L2 F,U B2 L2 B R B' L2 B R' B,B2 U' L' R B2 L R' U' B2,83
D2 L R' B2 R U R' U2 D F U F' U2 L R' B' R2 U R U L' R,x2,R' D2 U' B F L',R2 F2 R2 F2,F U B' U' B F',F2 L F2 L',R U2 R',R2 D' U F2 D,L' D2 B' R B D2 L,L2 B2 D2 R' D2 B2 L2,R U' R U2 F R2 F' U2 R2,,R U2 R2 U' R2 U' R2 U2 R,L F' L B2 L' F L B2 L2,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,81
B' U D' B' L' B' F2 D' L2 R' D' U2 R2 D' B2 F2 L D U R D' B D2 R,x2,B' D2 F L B,F R' F2 U' F R,L2 F2 L2 F2,U' F U F',U F' U' F,,B' U2 R' U' R U2 B,L' U2 B' U' B U2 L,B' R2 U' R U R2 B,,B L F L' B' L F' L',U,R2 U B' F R2 B F' U R2,62
L U2 R' U L' B' D2 U R' B' R' U2 R2 B2 F2 U2 L2 R' B' F' U2,x2,L2 B2 L' D' B' F',B2 R B2 R',U B' U' B,F2 L F2 L',R' D2 L D2 R,R' B' R' B U R,B2 R B2 R2 B' U' R B R,L' U2 B' U2 B U2 L,R' U2 B' R' B U2 R,R' U' F' U F R,R' U' R U' R' U2 R,U2,,66
R' B' D L2 F2 D' L' F2 U B' R F' B' U2 R2 D2 B R F' L F,x2,L2 F D F L B,F R' F2 U' F R,B' R U2 R' B,U' F U F',R' D2 L D2 R,L2 D' L U L' B' D L2,B2 R B2 R2 B' U' R B R,U' B2 D2 F D2 B2,L F2 U F' U' F2 L',R' U' F' U F R,,U' L2 F2 L B L' F2 L B' L,R2 U B' F R2 B F' U R2,81
B F2 L' R' U B2 F L2 R2 B2 F2 L2 D2 U' F' B' L2 R2 B U L' D2 L' B' F',x2,R2 F2 D' B2 R D',L R' U L' R,B' R' U2 R B,L' U2 L,R B' R B R2,,L' D2 B' R B D2 L,B2 D2 F2 D2 B2,B L2 D F' D' L2 B',R' U' F' U F R,R2 D' L F2 L' D R U2 R,L F' L B2 L' F L B2 L2,L2 U B F' L2 B' F U L2,76
R' L' U' L B' R' B U R2 U L B2 D R L F2 U R D2 B' L' B' L D L',x2,B2 F L R F' D,B F' U' B' F,R' B2 R B2 R,L' U B' U2 B L,R2 B' R' B U2 R',B2 U2 B' U2 B2,U L2 U2 L' U2 L2,U' B2 D2 F D2 B2,R' U2 B' R B U2 R,R U B U' B' R',,L B L' F' D L D' B' L' F L2 U' L2,B2 U' L' R B2 L R' U' B2,80
D2 U' B' R U R2 L' D F' U' D2 F' R2 F U2 B' R' B R2 B2 R' L2 B',x2,F' D L' F' D,R U R2 U2 R,B' U' B,L' U L,U F' U2 F,,B' U2 R' U' R U2 B,B2 D2 F D2 B2,L' B2 D' R D B2 L,L U F U' F' L',B' U' B U' B' U2 B,U B2 L2 B R B' L2 B R' B,F2 U' L R' F2 L' R U' F2,71
U R L' D U R' U D2 B L D2 L' D R' B2 D2 U' F U2 R F2 D' L2 D,x2,R2 D B L2 R F',B F' U' B' F,L2 B L2 B',L' U B' U2 B L,R U2 R',B2 U2 B' U2 B2,R2 D2 L' D2 R2,B2 D2 F2 D2 B2,B L2 D F' D' L2 B',R' U' F' U F R,B2 D F' L2 F D' B' U2 B',R2 B2 R F R' B2 R F' R,L2 U' B F' L2 B' F U' L2,79
F' B2 R2 U' R2 L' U2 R' D L' D2 R F2 B2 L2 D2 U' F' U L2 R2 D,x2,U2 F R' B L' D' R2,B U' B',F U B' U' B F',R' F R2 U R' F',F' U2 F,L2 D2 R D2 L2,U' L2 U2 L' U2 L2,B2 D2 F D2 B2,B U B2 D' R2 D B,R B U B' U' R',B' U' B U' B' U2 B,U B L' B R2 B' L B R2 B2,L2 F2 D2 R2 B F D2 L2 B F,81
D L B U2 R B2 D2 U2 L U' D2 L2 F' L R F' D U F' U',x2,D2 F L2 R' D' L',R' U B' R2 B R,R' B2 R B2 R,L' U2 L,R U' R',L2 D2 R' D2 L2,B2 R B2 R2 B' U' R B R,B2 D2 F' D2 B2,,,R2 D' L F2 L' D R U2 R,L B L' F' D L D' B' L' F L2 U' L2,R2 U B' F R2 B F' U R2,73
L2 B2 R2 B2 F2 U D2 L F B R2 D2 B U R B U D2 B' U2 D' B' D' F,x2,D L2 R' D2 B' D',B' U' B2 U2 B',,,R2 B' R' B U2 R',F2 D2 U2 B2 D2,B' U2 R' U2 R U2 B,L' U2 B' U' B U2 L,R' U2 B' R2 B U2 R,F' U2 F R B2 L' B' L U2 B' R',F R B R' F' R B' R',R B' R F2 R' B R F2 R2,B2 U' L' R B2 L R' U' B2,80
B R L' B2 U D' R' U' R' D' R B F2 R U F' L2 U' B' D2 R2 U2 F' L2,x2,R2 B2 D F2 R B,B' R' U R2 B R',B' F U2 F' U B,L' U2 L,R2 D B2 D' R2,L2 D' L U L' B' D L2,L B L B' U' L',L' U2 B' U' B U2 L,R' U2 B' R2 B U2 R,F' U2 F R B2 L' B' L U2 B' R',B' U' B U' B' U2 B,L B L' F' D L D' B' L' F L2 U' L2,B2 U L' R B2 L R' U B2,94
R' L' F2 R D' L B' R2 L' U2 B' R2 D2 B' U L2 R' F' U2 D L' B2 F2,x2,B2 U' L' F2 D B L,B U' B',U2 B' U B,U2 F2 L F2 L',,U F2 D2 B D2 F2,R2 D2 L D2 R2,L2 B2 D2 R' D2 B2 L2,L' B2 D' R D B2 L,F' U2 F R B2 L' B' L U2 B' R',B' U2 B U B' U B,L' B L' F2 L B' L' F2 L2,F2 U' L R' F2 L' R U' F2,80
B' R2 B D' U' L2 D' U2 B F2 U2 R L2 B2 D' L F' R2 D' U2 R L2,x2,R' F' D' B' L' D2 L2,R2 F2 R2 F2,L2 B L2 B',U F2 L F2 L',,R2 D' U F2 D,B' U2 R' U' R U2 B,F L F L' U' F',L' B2 D' R D B2 L,L U F U' F' L',B U' F' U B' U' F,R2 B2 R F R' B2 R F' R,,67
D' U2 B F U2 D' B' L F2 B2 U2 L' R F2 D F U R L' B' D' L2,x2,F2 L R' D,R U R2 U2 R,U B' U' B,L' U B' U2 B L,F' U2 F,L2 D2 R' D2 L2,R2 D2 L' D2 R2,B D F L F2 D' B' U' L',,L U F U' F' L',B' U2 B F' D F2 U F2 D' L2 F,U' L2 F2 L B L' F2 L B' L,L2 F2 D2 R2 B F D2 L2 B F,78
R U R2 F L2 U' D L2 F' B2 R2 D R D R2 F' L2 F2 D' B' D' U L2 F2,x2,B F2 R B D F',B2 R B2 R',L U2 L',L' U L,F' U F,R2 D' U F2 D,U L2 U2 L' U2 L2,,B U B2 D' R2 D B,R U B U' B' R',B U2 B2 U' B2 U' B2 U2 B,R2 F2 R' B' R F2 R' B R' U,F2 U' L R' F2 L' R U' F2,71
L U D' L2 D R' U2 R' L' D U B D F' D R F U2 D2 L' D' R' U2,x2,B D2 B L2,R2 B' R2 B,B' U' F U2 B F',R' F R2 U R' F',U F' U' F,R' B' R' B U R,R2 D2 L D2 R2,L2 B2 D2 R' D2 B2 L2,L F2 U F' U' F2 L',L U F U' F' L',L2 B2 L' F2 L B2 L' F2 L',U B2 L2 B R B' L2 B R' B,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,86
L2 D F R B R2 U L2 U' L2 D2 B' L D' B' D L2 B2 F R L' D2,x2,D U F' L R2 B D,U' R2 B' R2 B,B' U' B,F2 L F2 L',F' U F,R' B' R' B U R,R2 D2 L' D2 R2,L' U2 B' U' B U2 L,L' B2 D' R D B2 L,F' U2 F R B2 L' B' L U2 B' R',L U2 L2 U' L2 U' L2 U2 L,R2 U R2 U R2 U2 B L B' R2 B L' B',L2 F2 D2 R2 B F D2 L2 B F,90
F2 B L2 D' R L B D' U2 L U2 B R' D2 L' D2 U' L' F B U' R' B',x2,F D' R' F' L,B' R' U R2 B R',L U L',L' U' L,F' U2 F,U L2 D2 R' D2 L2,U L2 U2 L' U2 L2,B D F L F2 D' B' U' L',L' B2 D' R D B2 L,R B U B' U' R',R' U' R U' R' U2 R,R2 U R2 U R2 U2 B L B' R2 B L' B',F2 U' L R' F2 L' R U' F2,83
U B2 U' R B' U R U2 L' U2 D L D L2 D B' F R F' R' D F D,x2,D' B' L U' B F2,R' U R,L U' L',U2 F2 L F2 L',U F' U2 F,U' F2 D2 B D2 F2,R2 D2 L D2 R2,L' U2 B' U2 B U2 L,R' U2 B' R2 B U2 R,,F2 R2 F L2 F' R2 F L2 F,,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,67
D' F2 B L2 D' R' F2 D' R' D2 B F2 U' D2 R D R2 U' R2 B2 D',x2,B' L' U B2 U2 F2,B U' B',F U B' U' B F',R' F R2 U R' F',U F' U2 F,F2 D2 U2 B2 D2,U L2 U2 L' U2 L2,B2 D2 F2 D2 B2,R' U2 B' R2 B U2 R,R B U B' U' R',R U R' U R U2 R',R B' R F2 R' B R F2 R2,B2 U' L' R B2 L R' U' B2,79
R' F2 R2 D' U F' D2 F' U B L' F2 L' B' F2 U L' B' U' F',x2,L U' B D2 B,F R' U2 R F',L U2 L',F U' F',R U R',R' B' R' B U R,B2 R B2 R2 B' U' R B R,B2 D2 F2 D2 B2,R' U2 B' R2 B U2 R,L U F U' F' L',R B' R' F R B R' F',U L2 F2 L B L' F2 L B' L,F2 U' L R' F2 L' R U' F2,79
F2 R2 F' U' D2 F B L R2 U B2 D B R L2 D2 L2 B R' F2 U L D U2,x2,U2 L' B2 D' L' D,L R' U L' R,U2 B' U B,U2 F2 L F2 L',F' U F,L2 D2 R' D2 L2,F2 D' U L2 D,,B' R2 U' R U R2 B,B' R' U' R U B,B' U' B U' B' U2 B,F R' F L2 F' R F L2 F2,,62
U L2 B2 F' D F R2 D2 F2 L' U D2 B F' U2 B' U R U2 D2 B2 F' R F',x2,B' D' L' F' R' B,B U' B',R' B2 R B2 R,,U F' U2 F,,R2 D2 L D2 R2,,B U B2 D' R2 D B,B' R' U' R U B,R2 D' L F2 L' D R U2 R,U' L2 F2 L B L' F2 L B' L,L2 U B F' L2 B' F U L2,64
R' D2 L2 D2 U2 L2 D2 F U L2 D' U B' L2 B' F' D' U L2 R' U D',x2,D L F2 L B R,B' R' U R2 B R',B' U B,L' U2 L,,U' L2 D2 R' D2 L2,R2 D U B D' U' R2,B2 D2 F' D2 B2,R' U2 B' R B U2 R,R' U' F' U F R,R U2 R2 U' R2 U' R2 U2 R,U' R B' R F2 R' B R F2 R2,,68
D2 L U2 R2 L B D2 F2 U2 R L' B2 L2 B' D F2 U B' F D2 B L2,x2,D2 B' F L' D' L2,R2 B' R2 B,B' U' F U2 B F',R' F R2 U R' F',F' U2 F,R2 D' U F2 D,B2 D' R B U' B' D B2,L2 B2 D2 R' D2 B2 L2,L' B2 D' R D B2 L,R' U' F' U F R,B' U' B U' B' U2 B,B' R B' L2 B R' B' L2 B2,,74
B R' L' U' F' R2 L' B F R' D L' U2 D B U B2 D2 F' U' B L' R' D2,x2,U' L' B2 R',B' R' U R2 B R',,F U F',R U2 R',,B2 R B2 R2 B' U' R B R,L' U2 B' U' B U2 L,R' U2 B' R B U2 R,,F' U B U' F U B',L B L' F' D L D' B' L' F L2 U' L2,L2 U' B F' L2 B' F U' L2,68
L' U2 L2 R' D' B' U' F2 L' F' B2 D' L' F2 U2 D F2 B D' R2 D' L2 U D',x2,B' F L F R B,F R' U2 R F',L2 F2 L2 F2,L' U2 L,R' D2 L D2 R,U' L2 D2 R' D2 L2,R2 D2 L D2 R2,B2 D2 F2 D2 B2,L F2 U F' U' F2 L',,B' U' B U' B' U2 B,L F' L B2 L' F L B2 L2,F2 U' L R' F2 L' R U' F2,71
R U L R B' D' B R' D U' F' D' F2 R U' B2 R2 F R2 U,x2,L' U F R' D' B,B F' U' B' F,L F' U2 F L',U2 F U' F',R U2 B' R B R2,L2 D' U B2 D,B2 D' R B U' B' D B2,L' U2 B' U2 B U2 L,R' U2 B' R2 B U2 R,R' U' F' U F R,B2 D F' L2 F D' B' U2 B',U B L' B R2 B' L B R2 B2,L2 U' B F' L2 B' F U' L2,87
R2 L' F R' U2 D2 L2 F' U' F D' B L B2 D R' U2 L' R D' L' F R2,x2,L D B L' F' D',B' R' U R2 B R',B' R U2 R' B,L' U L,F' U2 F,R' B' R' B U R,,L' U2 B' U2 B U2 L,B U B2 D' R2 D B,R U B U' B' R',B U' F' U B' U' F,L F' L B2 L' F L B2 L2,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,77
D R' L2 D' U' L F2 U2 D R B L F D' F' D2 U F' U2 L U2 D' L',x2,B' F R' D' B2 L',R' U B' R2 B R,B' R U2 R' B,L' U' L,R2 D B2 D' R2,U F2 D2 B D2 F2,,B2 D2 F D2 B2,R U' R U2 F R2 F' U2 R2,R U B U' B' R',R2 D' L F2 L' D R U2 R,B2 R2 B' L' B R2 B' L B',L2 U B F' L2 B' F U L2,78
U' B2 D' F L2 B' D2 B' U' R L' D' F B' R F' D' U L' F' L R2 U R2 B,x2,B2 L' D' R F',B' R' U R2 B R',B' R' U2 R B,U2 F U' F',R U2 B' R B R2,R2 D' U F2 D,,L2 B2 D2 R' D2 B2 L2,B L2 D F' D' L2 B',R U B U' B' R',L U2 L2 U' L2 U' L2 U2 L,U',L2 F2 D2 R2 B F D2 L2 B F,71
R' U' F' U' F' R F' B U L2 R2 U2 D' F R' B2 F L2 F' U,x2,L D L' B F' D',R2 B' R2 B,B' R U2 R' B,L' B' U2 B U' L,R U R',L2 D' L U L' B' D L2,B2 D' R B U' B' D B2,L2 B2 D2 R' D2 B2 L2,R' U2 B' R' B U2 R,R U B U' B' R',L2 B2 L' F2 L B2 L' F2 L',U' L2 F2 L B L' F2 L B' L,F2 U' L R' F2 L' R U' F2,88
D2 R D2 R' D2 L D U L B' U2 D F' U' R2 U B' D' R2 U F B2,x2,U L2 B' R D R,B U2 B',B' R' U2 R B,F U2 F',F' U' F,U' F2 D2 B D2 F2,B2 D' R B U' B' D B2,B2 D2 F' D2 B2,B U B2 D' R2 D B,L' U' B' U B L,B U' F' U B' U' F,L' B L' F2 L B' L' F2 L2,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,80
U2 D' F U' F2 R2 B' U R2 L2 B U2 D R' D2 F' B2 L' U2 R' D2 R2 U2 R2,x2,D' R' D2 B R D,B' R' U R2 B R',L F' U2 F L',L' U B' U2 B L,R B' R B R2,L2 D' U B2 D,U L2 U2 L' U2 L2,,R' U2 B' R2 B U2 R,F' U2 F R B2 L' B' L U2 B' R',R2 D' L F2 L' D R U2 R,U,F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,79
L2 R2 U2 L' R F' L U' R B2 R L D' B U2 D2 B2 D2 U2 B D' B',x2,L F2 D B L2 D',R' U' R,L U2 L',U2 F2 L F2 L',F' U2 F,R2 D' U F2 D,R2 D2 L' D2 R2,L' U2 B' U2 B U2 L,R' U2 B' R B U2 R,B' R' U' R U B,B U' F' U B' U' F,F R' F L2 F' R F L2 F2,,66
L' U B2 R B R2 U2 D L' R' D2 B U2 R F2 L' U B' F2 U2 B F U',x2,L B' F' L' D B L2,R' B' R2 B U' R,B' U B,L' R U L R',R2 D B2 D' R2,B' U' L' B L B,L B L B' U' L',F L F L' U' F',B L2 D F' D' L2 B',F' U2 F R B2 L' B' L U2 B' R',,U' R B' R F2 R' B R F2 R2,B2 U' L' R B2 L R' U' B2,81
F' D2 F' R2 U D' B' R F L' U2 F' B2 L R D2 L2 R2 D F U2,x2,F2 L' U R2 B L' F',U' R2 B' R2 B,L2 B L2 B',,R2 B' R' B U2 R',F2 D2 U2 B2 D2,,L B2 D F2 D' B2 L',R' U2 B' R B U2 R,R U B U' B' R',B' U' B U' B' U2 B,F R' F L2 F' R F L2 F2,L2 U B F' L2 B' F U L2,72
F B L' R' U2 F D2 L2 F' L2 F' D L' D F' U F D2 R2 D2 U2 B F',x2,D R B2 D' B L' F',B U' B',B' R U2 R' B,,F' U' F,L2 D' B L U' L' U B2 D,U L2 U2 L' U2 L2,U B2 D2 F D2 B2,,R' U' F' U F R,F R F' L F R' F' L',R2 F2 R' B' R F2 R' B R',F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,74
U L2 F2 U' D' F' D' U B' L2 B2 L' F2 B' R2 B' U' D L2 U2 L2 U',x2,L B D L' F2 R',B2 R B2 R',L U L',L' U L,R U' R',U' F2 D2 B D2 F2,B2 R B2 R2 B' U' R B R,,L F2 U F' U' F2 L',L' U' B' U B L,R B L' B' R' B L B',B2 R2 B' L' B R2 B' L B',R2 U' B' F R2 B F' U' R2,73
L B2 L' R B2 U2 D2 B' F2 L R F B L2 F' R' F2 U' F U' D2 L D2 L',x2,R2 B' F' L' R',B U' B',B' U B,R' F R2 U R' F',F' U' F,L2 D' B L U' L' U B2 D,L' D2 B' R B D2 L,L' U2 B' U2 B U2 L,R' U2 B' R2 B U2 R,L' U' B' U B L,R2 D' L F2 L' D R U2 R,B2 U B2 L' B R D B' D' L B R' B',B2 U' L' R B2 L R' U' B2,87
B R' L2 B' L2 R' F2 R' B' L' U2 L2 B' F' R2 F D2 R' U2 L,x2,B L2 U2 R2,B2 R B2 R',B' R' U2 R B,F2 L F2 L',F' U F,R' B' R' B U R,B' U2 R' U2 R U2 B,B2 D2 F' D2 B2,B' R2 U' R U R2 B,R B U B' U' R',F U2 F' U' F U' F',B2 R2 B' L' B R2 B' L B',F2 U B2 L2 U' R2 F2 L2 D' R2 U' F2,79
L U' F' D' F2 R' F R F2 U' B R2 D2 F R B2 D R D' L U,x2,B2 L2 F R B L',R' U B' R2 B R,L U L',L' R U L R',R B' R B R2,B2 U2 B U2 B2,R2 D U B D' U' R2,U' B2 D2 F D2 B2,R U' R U2 F R2 F' U2 R2,R' U' F' U F R,R2 D' L F2 L' D R U2 R,B2 R2 B' L' B R2 B' L B',,76
D B' D2 B2 U2 F' L R' F R' F' U' B' L' D' U F2 U B2 U' D' R2,x2,R D F L',F R' F2 U' F R,B' R U' R' B,L' U B' U2 B L,R U' R',L2 D2 R' D2 L2,B' U2 R' U' R U2 B,U' B2 D2 F D2 B2,L' B2 D' R D B2 L,R B U B' U' R',R U2 R2 U' R2 U' R2 U2 R,L' B L' F2 L B' L' F2 L2 U,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,86
U R2 D' R2 U L D U B' D B2 D2 B U2 F' R U R' L U2 L' U2,x2,L R B L' D2,B U B',L U' L',L' R U L R',F' U2 F,B2 U2 B U2 B2,U' L2 U2 L' U2 L2,L' U2 B' U' B U2 L,R' U2 B' R2 B U2 R,L U F U' F' L',R2 D' L F2 L' D R U2 R,L' B L' F2 L B' L' F2 L2,L2 F2 D2 R2 B F D2 L2 B F,78
F' D2 U' L2 U' F' D' L2 R' F U' F D2 L2 U D' R D2 B' L R2 F',x2,F D' B L R,B' R' U R2 B R',L U2 L',F' U2 F2 U' F',R B' R B R2,U' L2 D2 R' D2 L2,L' D2 B' R B D2 L,B2 D2 F2 D2 B2,L F2 U F' U' F2 L',R' U' F' U F R,F U' B' U F' U' B,B2 U B2 L' B R D B' D' L B R' B',L2 U' B F' L2 B' F U' L2,84
R' D' R U L' F' L' F' B D2 R B U R2 L B R' L' B' F' D',x2,R' F2 L B' D,R2 B' R2 B,B' F U2 F' U B,F U' F',R U2 R',L2 D2 R' D2 L2,B2 R B2 R2 B' U' R B R,L B2 D F2 D' B2 L',B' R2 U' R U R2 B,R U B U' B' R',B L F' L' B' L F L',L' B L' F2 L B' L' F2 L2 U,L2 U R2 B2 U' F2 L2 B2 D' F2 U' L2,85
